task,family,k,seed,mode,acc,eps,support_size,support,lam,delta_norm
country-capital,knowledge,0,0,oracle,0.0,0,1,country-capital,0,83.67391206759216
country-capital,knowledge,0,0,naive,0.0,1,31,all,0,0
country-capital,knowledge,4,0,cass,0.0,0.7676,4,country-currency|landmark-country|park-country|product-company,4.3078,82.18
country-capital,knowledge,4,0,cass_recon,0.0,0.7676,4,country-currency|landmark-country|park-country|product-company,4.3078,82.18
country-capital,knowledge,4,0,zvec,0.0,0.7676,4,country-currency|landmark-country|park-country|product-company,4.3078,82.18
country-capital,knowledge,4,1,cass,0.0,0.7415,5,country-currency|landmark-country|park-country|synonym|english-french,2.2524,66.38
country-capital,knowledge,4,1,cass_recon,0.0,0.7415,5,country-currency|landmark-country|park-country|synonym|english-french,2.2524,66.38
country-capital,knowledge,4,1,zvec,0.0,0.7415,5,country-currency|landmark-country|park-country|synonym|english-french,2.2524,66.38
country-capital,knowledge,4,2,cass,0.0,0.7245,2,country-currency|landmark-country,3.7072,85.86
country-capital,knowledge,4,2,cass_recon,0.0,0.7245,2,country-currency|landmark-country,3.7072,85.86
country-capital,knowledge,4,2,zvec,0.0,0.7245,2,country-currency|landmark-country,3.7072,85.86
country-capital,knowledge,4,3,cass,0.0,0.7605,2,country-currency|landmark-country,3.462,83.23
country-capital,knowledge,4,4,cass,0.0,0.7858,2,country-currency|landmark-country,3.992,79.77
country-currency,knowledge,0,0,oracle,0.0,0,1,country-currency,0,59.075247230880436
country-currency,knowledge,0,0,naive,0.0,1,31,all,0,0
country-currency,knowledge,4,0,cass,0.0,0.7363,5,country-capital|person-sport|person-instrument|product-company|animal-from-list,1.5151,40.45
country-currency,knowledge,4,0,cass_recon,0.0,0.7363,5,country-capital|person-sport|person-instrument|product-company|animal-from-list,1.5151,40.45
country-currency,knowledge,4,0,zvec,0.0,0.7363,5,country-capital|person-sport|person-instrument|product-company|animal-from-list,1.5151,40.45
country-currency,knowledge,4,1,cass,0.0,0.7948,4,country-capital|park-country|person-instrument|product-company,1.8666,38.63
country-currency,knowledge,4,1,cass_recon,0.0,0.7948,4,country-capital|park-country|person-instrument|product-company,1.8666,38.63
country-currency,knowledge,4,1,zvec,0.0,0.7948,4,country-capital|park-country|person-instrument|product-company,1.8666,38.63
country-currency,knowledge,4,2,cass,0.0,0.7759,5,country-capital|park-country|person-sport|person-instrument|product-company,3.2791,65.5
country-currency,knowledge,4,2,cass_recon,0.0,0.7759,5,country-capital|park-country|person-sport|person-instrument|product-company,3.2791,65.5
country-currency,knowledge,4,2,zvec,0.0,0.7759,5,country-capital|park-country|person-sport|person-instrument|product-company,3.2791,65.5
country-currency,knowledge,4,3,cass,0.0,0.755,3,country-capital|person-sport|product-company,2.9902,70.93
country-currency,knowledge,4,4,cass,0.0,0.7239,5,country-capital|park-country|person-sport|person-instrument|product-company,1.9631,57.1
landmark-country,knowledge,0,0,oracle,0.02,0,1,landmark-country,0,68.7500795871214
landmark-country,knowledge,0,0,naive,0.02,1,31,all,0,0
landmark-country,knowledge,4,0,cass,0.0,0.5143,4,park-country|person-sport|product-company|next-item,0.7732,38.71
landmark-country,knowledge,4,0,cass_recon,0.0,0.5143,4,park-country|person-sport|product-company|next-item,0.7732,38.71
landmark-country,knowledge,4,0,zvec,0.0,0.5143,4,park-country|person-sport|product-company|next-item,0.7732,38.71
landmark-country,knowledge,4,1,cass,0.0,0.5457,5,country-capital|park-country|person-occupation|person-sport|product-company,1.5355,52.98
landmark-country,knowledge,4,1,cass_recon,0.0,0.5457,5,country-capital|park-country|person-occupation|person-sport|product-company,1.5355,52.98
landmark-country,knowledge,4,1,zvec,0.02,0.5457,5,country-capital|park-country|person-occupation|person-sport|product-company,1.5355,52.98
landmark-country,knowledge,4,2,cass,0.0,0.4768,4,park-country|person-occupation|person-sport|product-company,1.1801,58.56
landmark-country,knowledge,4,2,cass_recon,0.0,0.4768,4,park-country|person-occupation|person-sport|product-company,1.1801,58.56
landmark-country,knowledge,4,2,zvec,0.02,0.4768,4,park-country|person-occupation|person-sport|product-company,1.1801,58.56
landmark-country,knowledge,4,3,cass,0.0,0.4862,5,park-country|person-occupation|person-sport|person-instrument|product-company,1.1734,58.61
landmark-country,knowledge,4,4,cass,0.0,0.5967,5,park-country|person-occupation|person-sport|person-instrument|product-company,1.3085,38.78
park-country,knowledge,0,0,oracle,0.12,0,1,park-country,0,73.88021455669117
park-country,knowledge,0,0,naive,0.02,1,31,all,0,0
park-country,knowledge,4,0,cass,0.14,0.5466,5,country-capital|country-currency|landmark-country|product-company|next-capital-letter,1.3192,58.47
park-country,knowledge,4,0,cass_recon,0.08,0.5466,5,country-capital|country-currency|landmark-country|product-company|next-capital-letter,1.3192,58.47
park-country,knowledge,4,0,zvec,0.14,0.5466,5,country-capital|country-currency|landmark-country|product-company|next-capital-letter,1.3192,58.47
park-country,knowledge,4,1,cass,0.02,0.5169,5,country-capital|country-currency|landmark-country|person-occupation|product-company,1.105,47.37
park-country,knowledge,4,1,cass_recon,0.0,0.5169,5,country-capital|country-currency|landmark-country|person-occupation|product-company,1.105,47.37
park-country,knowledge,4,1,zvec,0.02,0.5169,5,country-capital|country-currency|landmark-country|person-occupation|product-company,1.105,47.37
park-country,knowledge,4,2,cass,0.06,0.5066,5,country-capital|country-currency|landmark-country|person-occupation|product-company,1.1633,61.16
park-country,knowledge,4,2,cass_recon,0.04,0.5066,5,country-capital|country-currency|landmark-country|person-occupation|product-company,1.1633,61.16
park-country,knowledge,4,2,zvec,0.14,0.5066,5,country-capital|country-currency|landmark-country|person-occupation|product-company,1.1633,61.16
park-country,knowledge,4,3,cass,0.02,0.5362,4,country-capital|landmark-country|person-occupation|product-company,1.0894,46.96
park-country,knowledge,4,4,cass,0.08,0.5201,4,country-capital|country-currency|landmark-country|product-company,1.9549,68.59
person-occupation,knowledge,0,0,oracle,0.04,0,1,person-occupation,0,25.191400536556625
person-occupation,knowledge,0,0,naive,0.04,1,31,all,0,0
person-occupation,knowledge,4,0,cass,0.04,0.7275,5,park-country|person-sport|person-instrument|product-company|fruit-from-list,0.7636,23.95
person-occupation,knowledge,4,0,cass_recon,0.04,0.7275,5,park-country|person-sport|person-instrument|product-company|fruit-from-list,0.7636,23.95
person-occupation,knowledge,4,0,zvec,0.04,0.7275,5,park-country|person-sport|person-instrument|product-company|fruit-from-list,0.7636,23.95
person-occupation,knowledge,4,1,cass,0.08,0.8677,4,landmark-country|park-country|person-sport|person-instrument,0.5234,13.13
person-occupation,knowledge,4,1,cass_recon,0.04,0.8677,4,landmark-country|park-country|person-sport|person-instrument,0.5234,13.13
person-occupation,knowledge,4,1,zvec,0.08,0.8677,4,landmark-country|park-country|person-sport|person-instrument,0.5234,13.13
person-occupation,knowledge,4,2,cass,0.02,0.687,4,landmark-country|park-country|person-sport|person-instrument,1.8111,51.37
person-occupation,knowledge,4,2,cass_recon,0.02,0.687,4,landmark-country|park-country|person-sport|person-instrument,1.8111,51.37
person-occupation,knowledge,4,2,zvec,0.04,0.687,4,landmark-country|park-country|person-sport|person-instrument,1.8111,51.37
person-occupation,knowledge,4,3,cass,0.04,0.7124,5,landmark-country|park-country|person-sport|person-instrument|fruit-from-list,0.7083,20.3
person-occupation,knowledge,4,4,cass,0.02,0.7774,5,landmark-country|park-country|person-sport|person-instrument|color-from-list,0.7015,22.84
person-sport,knowledge,0,0,oracle,0.0,0,1,person-sport,0,66.96023925038212
person-sport,knowledge,0,0,naive,0.0,1,31,all,0,0
person-sport,knowledge,4,0,cass,0.0,0.6876,5,country-currency|landmark-country|person-occupation|person-instrument|product-company,2.3933,58.16
person-sport,knowledge,4,0,cass_recon,0.0,0.6876,5,country-currency|landmark-country|person-occupation|person-instrument|product-company,2.3933,58.16
person-sport,knowledge,4,0,zvec,0.02,0.6876,5,country-currency|landmark-country|person-occupation|person-instrument|product-company,2.3933,58.16
person-sport,knowledge,4,1,cass,0.0,0.699,5,country-currency|landmark-country|person-occupation|person-instrument|product-company,2.2675,56.06
person-sport,knowledge,4,1,cass_recon,0.0,0.699,5,country-currency|landmark-country|person-occupation|person-instrument|product-company,2.2675,56.06
person-sport,knowledge,4,1,zvec,0.04,0.699,5,country-currency|landmark-country|person-occupation|person-instrument|product-company,2.2675,56.06
person-sport,knowledge,4,2,cass,0.02,0.6944,4,landmark-country|person-occupation|person-instrument|product-company,1.1871,28.92
person-sport,knowledge,4,2,cass_recon,0.0,0.6944,4,landmark-country|person-occupation|person-instrument|product-company,1.1871,28.92
person-sport,knowledge,4,2,zvec,0.04,0.6944,4,landmark-country|person-occupation|person-instrument|product-company,1.1871,28.92
person-sport,knowledge,4,3,cass,0.0,0.6901,5,country-currency|landmark-country|person-occupation|person-instrument|product-company,2.3125,54.06
person-sport,knowledge,4,4,cass,0.0,0.732,5,landmark-country|park-country|person-occupation|person-instrument|product-company,1.9487,38.99
person-instrument,knowledge,0,0,oracle,0.0,0,1,person-instrument,0,17.605367235664914
person-instrument,knowledge,0,0,naive,0.0,1,31,all,0,0
person-instrument,knowledge,4,0,cass,0.0,0.9204,4,country-capital|person-occupation|person-sport|choose-middle-of-list,0.5282,10.91
person-instrument,knowledge,4,0,cass_recon,0.0,0.9204,4,country-capital|person-occupation|person-sport|choose-middle-of-list,0.5282,10.91
person-instrument,knowledge,4,0,zvec,0.0,0.9204,4,country-capital|person-occupation|person-sport|choose-middle-of-list,0.5282,10.91
person-instrument,knowledge,4,1,cass,0.0,0.8922,2,person-occupation|person-sport,0.6654,10.76
person-instrument,knowledge,4,1,cass_recon,0.0,0.8922,2,person-occupation|person-sport,0.6654,10.76
person-instrument,knowledge,4,1,zvec,0.0,0.8922,2,person-occupation|person-sport,0.6654,10.76
person-instrument,knowledge,4,2,cass,0.0,0.8885,5,country-capital|person-occupation|person-sport|animal-from-list|fruit-from-list,0.3863,8.8
person-instrument,knowledge,4,2,cass_recon,0.0,0.8885,5,country-capital|person-occupation|person-sport|animal-from-list|fruit-from-list,0.3863,8.8
person-instrument,knowledge,4,2,zvec,0.0,0.8885,5,country-capital|person-occupation|person-sport|animal-from-list|fruit-from-list,0.3863,8.8
person-instrument,knowledge,4,3,cass,0.0,0.892,5,person-occupation|person-sport|alphabetically-last|color-from-list|fruit-from-list,0.1981,4.68
person-instrument,knowledge,4,4,cass,0.0,0.843,4,person-occupation|person-sport|word-length|color-from-list,0.4072,7.45
product-company,knowledge,0,0,oracle,0.0,0,1,product-company,0,70.87544464381395
product-company,knowledge,0,0,naive,0.0,1,31,all,0,0
product-company,knowledge,4,0,cass,0.0,0.7658,3,landmark-country|park-country|person-sport,2.7697,50.98
product-company,knowledge,4,0,cass_recon,0.0,0.7658,3,landmark-country|park-country|person-sport,2.7697,50.98
product-company,knowledge,4,0,zvec,0.0,0.7658,3,landmark-country|park-country|person-sport,2.7697,50.98
product-company,knowledge,4,1,cass,0.0,0.7317,5,country-capital|country-currency|landmark-country|person-sport|person-instrument,3.646,82.26
product-company,knowledge,4,1,cass_recon,0.0,0.7317,5,country-capital|country-currency|landmark-country|person-sport|person-instrument,3.646,82.26
