suite,method,task,seed,acc
loto,hendel_replace,country-capital,0,0.2653061224489796
loto,icv_pc1,country-capital,0,0.8775510204081632
loto,retrieval,country-capital,0,0.02040816326530612
loto,hendel_replace,country-capital,1,0.2653061224489796
loto,icv_pc1,country-capital,1,0.8979591836734694
loto,retrieval,country-capital,1,0.02040816326530612
loto,hendel_replace,country-capital,2,0.2653061224489796
loto,icv_pc1,country-capital,2,0.8775510204081632
loto,retrieval,country-capital,2,0.02040816326530612
loto,hendel_replace,country-currency,0,0.0
loto,icv_pc1,country-currency,0,0.0
loto,retrieval,country-currency,0,0.0
loto,hendel_replace,country-currency,1,0.0
loto,icv_pc1,country-currency,1,0.04081632653061224
loto,retrieval,country-currency,1,0.0
loto,hendel_replace,country-currency,2,0.0
loto,icv_pc1,country-currency,2,0.04081632653061224
loto,retrieval,country-currency,2,0.0
loto,hendel_replace,landmark-country,0,0.8
loto,icv_pc1,landmark-country,0,0.08
loto,retrieval,landmark-country,0,0.7
loto,hendel_replace,landmark-country,1,0.84
loto,icv_pc1,landmark-country,1,0.44
loto,retrieval,landmark-country,1,0.7
loto,hendel_replace,landmark-country,2,0.82
loto,icv_pc1,landmark-country,2,0.44
loto,retrieval,landmark-country,2,0.7
loto,hendel_replace,park-country,0,0.64
loto,icv_pc1,park-country,0,0.2
loto,retrieval,park-country,0,0.76
loto,hendel_replace,park-country,1,0.64
loto,icv_pc1,park-country,1,0.64
loto,retrieval,park-country,1,0.76
loto,hendel_replace,park-country,2,0.62
loto,icv_pc1,park-country,2,0.44
loto,retrieval,park-country,2,0.76
loto,hendel_replace,person-occupation,0,0.3
loto,icv_pc1,person-occupation,0,0.0
loto,retrieval,person-occupation,0,0.02
loto,hendel_replace,person-occupation,1,0.32
loto,icv_pc1,person-occupation,1,0.0
loto,retrieval,person-occupation,1,0.02
loto,hendel_replace,person-occupation,2,0.44
loto,icv_pc1,person-occupation,2,0.0
loto,retrieval,person-occupation,2,0.02
loto,hendel_replace,person-sport,0,0.52
loto,icv_pc1,person-sport,0,0.02
loto,retrieval,person-sport,0,0.0
loto,hendel_replace,person-sport,1,0.06
loto,icv_pc1,person-sport,1,0.02
loto,retrieval,person-sport,1,0.0
loto,hendel_replace,person-sport,2,0.46
loto,icv_pc1,person-sport,2,0.0
loto,retrieval,person-sport,2,0.0
loto,hendel_replace,person-instrument,0,0.58
loto,icv_pc1,person-instrument,0,0.0
loto,retrieval,person-instrument,0,0.0
loto,hendel_replace,person-instrument,1,0.72
loto,icv_pc1,person-instrument,1,0.0
loto,retrieval,person-instrument,1,0.0
