task,family,k,acc_syn,acc_zs,acc_icl,acc_oracle,acc_naive,rho,rho_icl,eps,support_size
alphabetically-first,algorithmic,1,0.20400000000000001,0.12,0.16,0.24,0.12,0.7000000000000002,,0.92682,3.4
alphabetically-first,algorithmic,2,0.236,0.12,0.16,0.24,0.12,0.9666666666666667,,0.7614000000000001,4.8
alphabetically-first,algorithmic,4,0.20400000000000001,0.12,0.16,0.24,0.12,0.7000000000000002,,0.53354,4.6
alphabetically-last,algorithmic,1,0.152,0.06,0.24,0.16,0.08,0.9199999999999999,0.5111111111111111,0.9535,4.0
alphabetically-last,algorithmic,2,0.20800000000000002,0.06,0.24,0.16,0.08,1.4800000000000002,0.8222222222222224,0.78454,4.8
alphabetically-last,algorithmic,4,0.244,0.06,0.24,0.16,0.08,1.8399999999999999,1.0222222222222221,0.5696,4.8
animal-from-list,selection,1,0.252,0.02,0.9199999999999999,0.3,0.02,0.8285714285714287,0.25777777777777783,0.9384399999999999,5.0
animal-from-list,selection,2,0.404,0.02,0.9199999999999999,0.3,0.02,1.3714285714285717,0.4266666666666667,0.7992999999999999,4.6
animal-from-list,selection,4,0.368,0.02,0.9199999999999999,0.3,0.02,1.2428571428571429,0.38666666666666666,0.6620999999999999,4.8
antonym,linguistic,1,0.168,0.0,0.68,0.62,0.0,0.2709677419354839,0.24705882352941178,0.98558,3.0
antonym,linguistic,2,0.3,0.0,0.68,0.62,0.0,0.48387096774193544,0.4411764705882352,0.9686600000000001,4.2
antonym,linguistic,4,0.524,0.0,0.68,0.62,0.0,0.8451612903225807,0.7705882352941176,0.8423999999999999,4.0
capitalize,linguistic,1,0.5640000000000001,0.32,1.0,0.98,0.32,0.3696969696969698,0.3588235294117648,0.99182,2.6
capitalize,linguistic,2,0.8320000000000001,0.32,1.0,0.98,0.32,0.7757575757575759,0.7529411764705883,0.97834,3.2
capitalize,linguistic,4,0.9960000000000001,0.32,1.0,0.98,0.32,1.0242424242424246,0.9941176470588239,0.86098,4.2
capitalize-first-letter,linguistic,1,0.012,0.0,1.0,0.6,0.0,0.02,0.012,0.9459199999999999,4.4
capitalize-first-letter,linguistic,2,0.132,0.0,1.0,0.6,0.0,0.22000000000000003,0.132,0.90176,5.0
capitalize-first-letter,linguistic,4,0.076,0.0,1.0,0.6,0.0,0.12666666666666668,0.076,0.5377,4.4
capitalize-last-letter,linguistic,1,0.044,0.06,0.52,0.04,0.04,,-0.034782608695652174,0.9727799999999999,4.2
capitalize-last-letter,linguistic,2,0.052000000000000005,0.06,0.52,0.04,0.04,,-0.01739130434782607,0.9100400000000001,4.8
capitalize-last-letter,linguistic,4,0.032,0.06,0.52,0.04,0.04,,-0.06086956521739129,0.7336199999999999,3.6
choose-first-of-list,algorithmic,1,0.16799999999999998,0.12,0.9666666666666667,0.96,0.12,0.05714285714285713,0.05669291338582676,0.92768,4.6
choose-first-of-list,algorithmic,2,0.732,0.12,0.9666666666666667,0.96,0.12,0.7285714285714285,0.7228346456692913,0.8253600000000001,4.2
