compound,seed,acc_zs,acc_icl,acc_cass,acc_retrieval,retrieved,acc_naive,support,support_precision,support_recall,eps
antonym+capitalize,0,0.0,0.64,0.0,0.0,antonym,0.04,antonym|capitalize|prev-item,0.667,1.0,0.6553
antonym+capitalize,1,0.0,0.64,0.0,0.0,antonym,0.04,antonym|capitalize|next-item,0.667,1.0,0.7113
antonym+capitalize,2,0.0,0.64,0.0,0.0,antonym,0.04,antonym|capitalize|next-item|prev-item,0.5,1.0,0.7133
antonym+capitalize,3,0.0,0.64,0.0,0.0,antonym,0.04,antonym|singular-plural|capitalize|next-item|prev-item,0.4,1.0,0.6616
antonym+capitalize,4,0.0,0.64,0.0,0.0,antonym,0.04,antonym|synonym|singular-plural|capitalize|english-french,0.4,1.0,0.6329
synonym+capitalize,0,0.0,0.54,0.04,0.0,synonym,0.0,synonym|english-french|english-german,0.333,0.5,0.748
synonym+capitalize,1,0.0,0.54,0.04,0.0,synonym,0.0,synonym|english-french|english-german|english-spanish,0.25,0.5,0.6516
synonym+capitalize,2,0.0,0.54,0.02,0.0,synonym,0.0,antonym|synonym|english-german|alphabetically-first|choose-last-of-list,0.2,0.5,0.6511
synonym+capitalize,3,0.0,0.54,0.04,0.0,synonym,0.0,synonym|english-french|english-german|alphabetically-last|choose-first-of-list,0.2,0.5,0.745
synonym+capitalize,4,0.0,0.54,0.0,0.0,synonym,0.0,synonym|alphabetically-last,0.5,0.5,0.7093
present-past+capitalize,0,0.0,1.0,0.3,0.0,present-past,0.08,present-past|singular-plural|capitalize|english-french,0.5,1.0,0.641
present-past+capitalize,1,0.0,1.0,0.14,0.0,present-past,0.08,present-past|capitalize|english-french,0.667,1.0,0.6483
present-past+capitalize,2,0.0,1.0,0.58,0.0,present-past,0.08,present-past|singular-plural|capitalize|english-french|english-spanish,0.4,1.0,0.6568
present-past+capitalize,3,0.0,1.0,0.72,0.0,present-past,0.08,present-past|capitalize|english-french|english-spanish,0.5,1.0,0.6512
present-past+capitalize,4,0.0,1.0,0.74,0.0,present-past,0.08,present-past|capitalize|english-french|english-spanish,0.5,1.0,0.6919
singular-plural+capitalize,0,0.0,0.98,0.84,0.0,singular-plural,0.02,present-past|singular-plural|capitalize|alphabetically-last,0.5,1.0,0.6472
singular-plural+capitalize,1,0.0,0.98,0.92,0.0,singular-plural,0.02,present-past|singular-plural|capitalize|alphabetically-last,0.5,1.0,0.6885
singular-plural+capitalize,2,0.0,0.98,0.78,0.0,singular-plural,0.02,present-past|singular-plural|capitalize,0.667,1.0,0.6568
singular-plural+capitalize,3,0.0,0.98,0.84,0.0,singular-plural,0.02,present-past|singular-plural|capitalize,0.667,1.0,0.7009
singular-plural+capitalize,4,0.0,0.98,0.92,0.0,singular-plural,0.02,present-past|singular-plural|capitalize|alphabetically-first|fruit-from-list,0.4,1.0,0.7128
english-french+capitalize,0,0.0,0.84,0.06,0.0,english-french,0.0,english-french|english-german|english-spanish|alphabetically-first|choose-middle-of-list,0.2,0.5,0.6279
