size,draw,task,seed,acc,eps,support_size
5,0,antonym,0,0.0,0.9122,5
5,0,antonym,1,0.0,0.9014,5
5,1,antonym,0,0.04,0.8719,5
5,1,antonym,1,0.04,0.8786,5
5,2,antonym,0,0.36,0.9063,5
5,2,antonym,1,0.2,0.9234,5
5,3,antonym,0,0.08,0.8824,5
5,3,antonym,1,0.04,0.9068,5
5,4,antonym,0,0.28,0.8857,5
5,4,antonym,1,0.12,0.9084,5
10,0,antonym,0,0.68,0.8843,5
10,0,antonym,1,0.68,0.9298,3
10,1,antonym,0,0.68,0.89,4
10,1,antonym,1,0.68,0.8995,5
10,2,antonym,0,0.4,0.8535,5
10,2,antonym,1,0.16,0.8937,4
10,3,antonym,0,0.68,0.8445,5
10,3,antonym,1,0.68,0.8989,5
10,4,antonym,0,0.68,0.848,5
10,4,antonym,1,0.68,0.8788,5
15,0,antonym,0,0.64,0.8548,4
15,0,antonym,1,0.6,0.8802,4
15,1,antonym,0,0.68,0.8771,4
15,1,antonym,1,0.56,0.9221,4
15,2,antonym,0,0.68,0.8409,5
15,2,antonym,1,0.68,0.8829,5
15,3,antonym,0,0.64,0.884,5
15,3,antonym,1,0.68,0.9429,1
15,4,antonym,0,0.64,0.8226,5
15,4,antonym,1,0.64,0.8978,3
20,0,antonym,0,0.64,0.8384,5
20,0,antonym,1,0.6,0.8681,5
20,1,antonym,0,0.72,0.8679,5
20,1,antonym,1,0.68,0.8905,5
20,2,antonym,0,0.64,0.8583,5
20,2,antonym,1,0.68,0.9188,4
20,3,antonym,0,0.68,0.8239,3
20,3,antonym,1,0.68,0.8921,3
20,4,antonym,0,0.64,0.8039,4
20,4,antonym,1,0.64,0.8487,5
25,0,antonym,0,0.64,0.8354,5
25,0,antonym,1,0.64,0.8688,4
25,1,antonym,0,0.6,0.8413,4
25,1,antonym,1,0.64,0.8673,3
25,2,antonym,0,0.56,0.8148,5
25,2,antonym,1,0.6,0.8667,3
25,3,antonym,0,0.6,0.8196,5
25,3,antonym,1,0.6,0.8718,3
25,4,antonym,0,0.68,0.8176,5
25,4,antonym,1,0.68,0.8774,3
31,0,antonym,0,0.64,0.8343,5
31,0,antonym,1,0.64,0.8677,4
31,1,antonym,0,0.64,0.8343,5
31,1,antonym,1,0.64,0.8677,4
31,2,antonym,0,0.64,0.8343,5
31,2,antonym,1,0.64,0.8677,4
31,3,antonym,0,0.64,0.8343,5
31,3,antonym,1,0.64,0.8677,4
31,4,antonym,0,0.64,0.8343,5
31,4,antonym,1,0.64,0.8677,4
5,0,country-capital,0,0.0,0.8782,5
5,0,country-capital,1,0.0,0.8797,5
5,1,country-capital,0,0.04,0.8769,5
5,1,country-capital,1,0.0,0.8667,5
5,2,country-capital,0,0.6,0.8979,5
5,2,country-capital,1,0.36,0.8973,5
5,3,country-capital,0,0.12,0.915,5
5,3,country-capital,1,0.04,0.9089,5
5,4,country-capital,0,0.28,0.8552,5
5,4,country-capital,1,0.2,0.8497,5
10,0,country-capital,0,0.88,0.94,5
10,0,country-capital,1,0.68,0.9439,2
10,1,country-capital,0,0.6,0.9364,3
10,1,country-capital,1,0.64,0.9302,5
10,2,country-capital,0,0.96,0.902,5
10,2,country-capital,1,0.88,0.8901,4
10,3,country-capital,0,0.96,0.9545,5
10,3,country-capital,1,0.8,0.9412,5
10,4,country-capital,0,0.76,0.9269,5
10,4,country-capital,1,0.72,0.9198,5
15,0,country-capital,0,0.96,0.8537,3
15,0,country-capital,1,0.88,0.8131,3
15,1,country-capital,0,0.96,0.8393,5
15,1,country-capital,1,0.88,0.827,4
15,2,country-capital,0,0.96,0.9031,5
15,2,country-capital,1,0.96,0.9302,3
15,3,country-capital,0,0.76,0.8899,5
15,3,country-capital,1,0.72,0.8964,2
15,4,country-capital,0,0.96,0.8786,4
15,4,country-capital,1,0.96,0.8364,4
20,0,country-capital,0,0.96,0.8461,3
20,0,country-capital,1,0.8,0.8107,5
20,1,country-capital,0,0.8,0.9541,3
20,1,country-capital,1,0.72,0.9474,4
20,2,country-capital,0,0.84,0.9306,4
20,2,country-capital,1,0.8,0.9161,3
20,3,country-capital,0,0.96,0.9693,2
20,3,country-capital,1,0.88,0.9361,5
20,4,country-capital,0,0.96,0.8484,5
20,4,country-capital,1,0.88,0.8073,4
25,0,country-capital,0,0.92,0.8506,5
25,0,country-capital,1,0.88,0.8109,4
25,1,country-capital,0,0.96,0.8472,4
25,1,country-capital,1,0.84,0.8044,3
25,2,country-capital,0,0.96,0.8511,4
25,2,country-capital,1,0.88,0.8113,5
25,3,country-capital,0,0.92,0.8571,4
25,3,country-capital,1,0.88,0.817,4
25,4,country-capital,0,0.92,0.8555,5
25,4,country-capital,1,0.88,0.8199,4
31,0,country-capital,0,0.96,0.8498,5
31,0,country-capital,1,0.88,0.8088,4
31,1,country-capital,0,0.96,0.8498,5
31,1,country-capital,1,0.88,0.8088,4
31,2,country-capital,0,0.96,0.8498,5
31,2,country-capital,1,0.88,0.8088,4
31,3,country-capital,0,0.96,0.8498,5
31,3,country-capital,1,0.88,0.8088,4
31,4,country-capital,0,0.96,0.8498,5
31,4,country-capital,1,0.88,0.8088,4
5,0,english-french,0,0.0,0.8539,5
5,0,english-french,1,0.0,0.8327,5
5,1,english-french,0,0.0,0.8422,5
5,1,english-french,1,0.0,0.8356,5
5,2,english-french,0,0.0,0.8539,5
5,2,english-french,1,0.0,0.8596,5
5,3,english-french,0,0.0,0.9072,5
5,3,english-french,1,0.0,0.8754,5
5,4,english-french,0,0.0,0.868,5
5,4,english-french,1,0.0,0.8384,5
10,0,english-french,0,0.12,0.7738,5
10,0,english-french,1,0.04,0.7679,5
10,1,english-french,0,0.0,0.8328,5
10,1,english-french,1,0.0,0.8044,3
10,2,english-french,0,0.0,0.8915,4
10,2,english-french,1,0.0,0.9052,4
10,3,english-french,0,0.0,0.9293,4
10,3,english-french,1,0.0,0.8997,4
10,4,english-french,0,0.52,0.7491,5
10,4,english-french,1,0.04,0.7104,5
15,0,english-french,0,0.2,0.739,3
15,0,english-french,1,0.12,0.7051,5
15,1,english-french,0,0.24,0.7052,3
15,1,english-french,1,0.04,0.6797,5
15,2,english-french,0,0.0,0.9102,5
15,2,english-french,1,0.0,0.8912,5
15,3,english-french,0,0.28,0.7928,5
15,3,english-french,1,0.04,0.7532,5
15,4,english-french,0,0.08,0.9399,5
15,4,english-french,1,0.0,0.9186,3
20,0,english-french,0,0.4,0.7812,5
20,0,english-french,1,0.08,0.7464,5
20,1,english-french,0,0.24,0.7872,5
20,1,english-french,1,0.04,0.7517,5
20,2,english-french,0,0.32,0.6865,5
20,2,english-french,1,0.08,0.6503,5
20,3,english-french,0,0.0,0.9421,3
20,3,english-french,1,0.0,0.8947,5
20,4,english-french,0,0.16,0.771,5
20,4,english-french,1,0.12,0.7063,5
25,0,english-french,0,0.36,0.7274,5
25,0,english-french,1,0.12,0.7144,5
25,1,english-french,0,0.4,0.7645,5
25,1,english-french,1,0.08,0.7426,3
25,2,english-french,0,0.24,0.7493,5
25,2,english-french,1,0.08,0.7543,1
25,3,english-french,0,0.12,0.7405,4
25,3,english-french,1,0.04,0.7008,5
25,4,english-french,0,0.16,0.7389,3
25,4,english-french,1,0.0,0.7017,5
31,0,english-french,0,0.36,0.7514,5
31,0,english-french,1,0.08,0.7282,2
31,1,english-french,0,0.36,0.7514,5
31,1,english-french,1,0.12,0.7282,2
31,2,english-french,0,0.36,0.7514,5
31,2,english-french,1,0.12,0.7282,2
31,3,english-french,0,0.36,0.7514,5
31,3,english-french,1,0.12,0.7282,2
31,4,english-french,0,0.36,0.7514,5
31,4,english-french,1,0.08,0.7282,2
5,0,present-past,0,0.12,0.8921,5
5,0,present-past,1,0.12,0.8909,5
5,1,present-past,0,0.24,0.8833,5
5,1,present-past,1,0.28,0.872,5
5,2,present-past,0,0.52,0.8959,5
5,2,present-past,1,0.56,0.8868,5
5,3,present-past,0,0.36,0.9028,5
5,3,present-past,1,0.36,0.8963,5
5,4,present-past,0,0.44,0.8399,5
5,4,present-past,1,0.52,0.836,5
10,0,present-past,0,0.8,0.9067,5
10,0,present-past,1,0.84,0.9271,4
10,1,present-past,0,0.6,0.9444,4
10,1,present-past,1,0.64,0.9129,5
10,2,present-past,0,0.52,0.9334,4
10,2,present-past,1,0.52,0.9307,4
10,3,present-past,0,0.64,0.8879,3
10,3,present-past,1,0.8,0.8574,5
10,4,present-past,0,0.8,0.8812,5
10,4,present-past,1,0.8,0.8768,5
15,0,present-past,0,0.84,0.8267,4
15,0,present-past,1,1.0,0.7814,5
15,1,present-past,0,0.76,0.9037,4
15,1,present-past,1,0.76,0.8975,4
15,2,present-past,0,0.88,0.8379,4
15,2,present-past,1,0.92,0.8208,3
15,3,present-past,0,0.88,0.8349,5
15,3,present-past,1,0.8,0.8334,3
15,4,present-past,0,0.88,0.8212,5
15,4,present-past,1,0.96,0.7774,5
20,0,present-past,0,0.88,0.8372,4
20,0,present-past,1,0.92,0.7913,4
20,1,present-past,0,0.8,0.9165,5
20,1,present-past,1,0.84,0.884,5
20,2,present-past,0,0.8,0.8479,3
20,2,present-past,1,0.84,0.8044,3
20,3,present-past,0,0.88,0.8069,4
20,3,present-past,1,0.92,0.7674,4
20,4,present-past,0,0.88,0.8143,4
20,4,present-past,1,0.92,0.7734,5
25,0,present-past,0,0.88,0.8005,4
25,0,present-past,1,0.88,0.7556,4
25,1,present-past,0,0.88,0.805,4
25,1,present-past,1,0.88,0.761,5
25,2,present-past,0,0.88,0.8004,4
25,2,present-past,1,0.84,0.7561,4
25,3,present-past,0,0.76,0.8926,2
25,3,present-past,1,0.8,0.8428,5
25,4,present-past,0,0.76,0.8954,2
25,4,present-past,1,0.76,0.8664,3
31,0,present-past,0,0.88,0.7939,4
31,0,present-past,1,0.88,0.749,4
31,1,present-past,0,0.88,0.7939,4
31,1,present-past,1,0.88,0.749,4
31,2,present-past,0,0.88,0.7939,4
31,2,present-past,1,0.88,0.749,4
31,3,present-past,0,0.88,0.7939,4
31,3,present-past,1,0.88,0.749,4
31,4,present-past,0,0.88,0.7939,4
