size,draw,task,seed,acc,eps,support_size
5,0,antonym,0,0.52,0.7843,5
5,0,antonym,1,0.48,0.8162,5
5,1,antonym,0,0.52,0.828,5
5,1,antonym,1,0.52,0.8602,5
5,2,antonym,0,0.36,0.8529,5
5,2,antonym,1,0.16,0.8749,5
5,3,antonym,0,0.64,0.8192,5
5,3,antonym,1,0.48,0.8574,5
5,4,antonym,0,0.56,0.9252,5
5,4,antonym,1,0.48,0.9231,5
10,0,antonym,0,0.64,0.8611,3
10,0,antonym,1,0.56,0.9075,5
10,1,antonym,0,0.4,0.8802,2
10,1,antonym,1,0.48,0.9007,3
10,2,antonym,0,0.56,0.9074,4
10,2,antonym,1,0.52,0.9359,5
10,3,antonym,0,0.48,0.9231,4
10,3,antonym,1,0.44,0.9119,5
10,4,antonym,0,0.56,0.9319,5
10,4,antonym,1,0.52,0.9642,4
20,0,antonym,0,0.72,0.8694,4
20,0,antonym,1,0.64,0.8935,5
20,1,antonym,0,0.72,0.8499,5
20,1,antonym,1,0.64,0.9029,4
20,2,antonym,0,0.44,0.8938,4
20,2,antonym,1,0.4,0.8949,4
20,3,antonym,0,0.4,0.8237,5
20,3,antonym,1,0.52,0.8393,4
20,4,antonym,0,0.68,0.8218,5
20,4,antonym,1,0.68,0.8729,3
30,0,antonym,0,0.48,0.8027,5
30,0,antonym,1,0.44,0.8523,3
30,1,antonym,0,0.72,0.8757,3
30,1,antonym,1,0.64,0.8938,4
30,2,antonym,0,0.64,0.8867,5
30,2,antonym,1,0.64,0.8992,5
30,3,antonym,0,0.56,0.8348,5
30,3,antonym,1,0.56,0.8492,5
30,4,antonym,0,0.64,0.8337,5
30,4,antonym,1,0.6,0.8521,5
40,0,antonym,0,0.56,0.8577,4
40,0,antonym,1,0.56,0.8781,5
40,1,antonym,0,0.56,0.8573,4
40,1,antonym,1,0.56,0.8523,5
40,2,antonym,0,0.6,0.8283,5
40,2,antonym,1,0.6,0.857,5
40,3,antonym,0,0.6,0.8293,5
40,3,antonym,1,0.56,0.8498,5
40,4,antonym,0,0.6,0.8559,4
40,4,antonym,1,0.56,0.8767,5
46,0,antonym,0,0.6,0.8574,4
46,0,antonym,1,0.56,0.8776,5
46,1,antonym,0,0.56,0.8574,4
46,1,antonym,1,0.56,0.8776,5
46,2,antonym,0,0.56,0.8574,4
46,2,antonym,1,0.56,0.8776,5
46,3,antonym,0,0.56,0.8574,4
46,3,antonym,1,0.56,0.8776,5
46,4,antonym,0,0.56,0.8574,4
46,4,antonym,1,0.56,0.8776,5
5,0,country-capital,0,0.92,0.8622,5
5,0,country-capital,1,0.92,0.8531,5
5,1,country-capital,0,0.72,0.8799,5
5,1,country-capital,1,0.76,0.8751,5
5,2,country-capital,0,0.64,0.8661,5
5,2,country-capital,1,0.36,0.8641,5
5,3,country-capital,0,0.92,0.836,5
5,3,country-capital,1,0.92,0.8251,5
5,4,country-capital,0,0.96,0.8209,5
5,4,country-capital,1,0.96,0.8069,5
10,0,country-capital,0,0.76,0.9221,4
10,0,country-capital,1,0.68,0.8902,5
10,1,country-capital,0,0.96,0.8693,5
10,1,country-capital,1,0.96,0.8325,5
10,2,country-capital,0,0.88,0.8654,4
10,2,country-capital,1,0.76,0.8629,5
10,3,country-capital,0,0.96,0.8761,4
10,3,country-capital,1,0.96,0.865,5
10,4,country-capital,0,0.96,0.8757,5
10,4,country-capital,1,0.96,0.8475,4
20,0,country-capital,0,0.92,0.8313,5
20,0,country-capital,1,0.88,0.8184,4
20,1,country-capital,0,0.76,0.8973,3
20,1,country-capital,1,0.96,0.8495,4
20,2,country-capital,0,0.96,0.8223,4
20,2,country-capital,1,0.76,0.8462,5
20,3,country-capital,0,0.96,0.8724,4
20,3,country-capital,1,0.88,0.8585,5
20,4,country-capital,0,0.96,0.8755,4
20,4,country-capital,1,0.92,0.8381,5
30,0,country-capital,0,0.96,0.8493,5
30,0,country-capital,1,0.92,0.7781,5
30,1,country-capital,0,0.88,0.8243,5
30,1,country-capital,1,0.96,0.788,3
30,2,country-capital,0,0.96,0.8527,5
30,2,country-capital,1,0.88,0.8067,4
30,3,country-capital,0,0.96,0.9152,5
30,3,country-capital,1,0.84,0.8981,5
30,4,country-capital,0,0.96,0.9624,3
30,4,country-capital,1,0.76,0.9012,5
40,0,country-capital,0,0.92,0.8453,5
40,0,country-capital,1,0.84,0.8036,5
40,1,country-capital,0,0.92,0.8307,4
40,1,country-capital,1,0.92,0.7864,5
40,2,country-capital,0,0.92,0.8372,5
40,2,country-capital,1,0.92,0.7979,5
40,3,country-capital,0,0.92,0.8323,5
40,3,country-capital,1,0.92,0.7932,5
40,4,country-capital,0,0.88,0.8271,5
40,4,country-capital,1,0.92,0.7873,5
46,0,country-capital,0,0.88,0.8279,5
46,0,country-capital,1,0.92,0.7884,5
46,1,country-capital,0,0.88,0.8279,5
46,1,country-capital,1,0.88,0.7884,5
46,2,country-capital,0,0.88,0.8279,5
46,2,country-capital,1,0.88,0.7884,5
46,3,country-capital,0,0.88,0.8279,5
46,3,country-capital,1,0.92,0.7884,5
46,4,country-capital,0,0.88,0.8279,5
46,4,country-capital,1,0.88,0.7884,5
5,0,english-french,0,0.08,0.627,5
5,0,english-french,1,0.0,0.6045,5
5,1,english-french,0,0.04,0.7409,5
5,1,english-french,1,0.0,0.7027,5
5,2,english-french,0,0.0,0.8452,5
5,2,english-french,1,0.0,0.8545,5
5,3,english-french,0,0.52,0.6465,5
5,3,english-french,1,0.12,0.6054,5
5,4,english-french,0,0.0,0.8631,5
5,4,english-french,1,0.0,0.8543,5
10,0,english-french,0,0.48,0.7762,5
10,0,english-french,1,0.28,0.7126,4
10,1,english-french,0,0.2,0.7133,5
10,1,english-french,1,0.08,0.7008,4
10,2,english-french,0,0.4,0.6682,5
10,2,english-french,1,0.04,0.6436,4
10,3,english-french,0,0.0,0.9477,5
