compound,seed,acc
antonym+capitalize,0,0.28
antonym+capitalize,1,0.3
antonym+capitalize,2,0.26
antonym+capitalize,3,0.26
antonym+capitalize,4,0.22
synonym+capitalize,0,0.22
synonym+capitalize,1,0.2
synonym+capitalize,2,0.22
synonym+capitalize,3,0.24
synonym+capitalize,4,0.18
present-past+capitalize,0,0.34
present-past+capitalize,1,0.34
present-past+capitalize,2,0.34
present-past+capitalize,3,0.34
present-past+capitalize,4,0.34
singular-plural+capitalize,0,0.22
singular-plural+capitalize,1,0.22
singular-plural+capitalize,2,0.22
singular-plural+capitalize,3,0.22
singular-plural+capitalize,4,0.22
english-french+capitalize,0,0.06
english-french+capitalize,1,0.08
english-french+capitalize,2,0.06
english-french+capitalize,3,0.04
english-french+capitalize,4,0.02
next-item+capitalize,0,0.23529411764705882
next-item+capitalize,1,0.058823529411764705
next-item+capitalize,2,0.3235294117647059
next-item+capitalize,3,0.23529411764705882
next-item+capitalize,4,0.08823529411764706
antonym+capitalize-first-letter,0,0.02
antonym+capitalize-first-letter,1,0.14
antonym+capitalize-first-letter,2,0.0
antonym+capitalize-first-letter,3,0.02
antonym+capitalize-first-letter,4,0.04
present-past+capitalize-first-letter,0,0.96
present-past+capitalize-first-letter,1,0.98
present-past+capitalize-first-letter,2,0.96
present-past+capitalize-first-letter,3,0.82
present-past+capitalize-first-letter,4,0.92
country-capital+word-length,0,0.0
country-capital+word-length,1,0.0
country-capital+word-length,2,0.0
country-capital+word-length,3,0.0
country-capital+word-length,4,0.0
country-capital+lowercase-first-letter,0,0.1
country-capital+lowercase-first-letter,1,0.18
country-capital+lowercase-first-letter,2,0.1
country-capital+lowercase-first-letter,3,0.04
country-capital+lowercase-first-letter,4,0.06
