suite,task,seed,acc
loto,country-capital,0,0.9591836734693877
loto,country-capital,1,0.9591836734693877
loto,country-capital,2,0.9591836734693877
loto,country-currency,0,0.4897959183673469
loto,country-currency,1,0.16326530612244897
loto,country-currency,2,0.6938775510204082
loto,landmark-country,0,0.86
loto,landmark-country,1,0.92
loto,landmark-country,2,0.88
loto,park-country,0,0.82
loto,park-country,1,0.86
loto,park-country,2,0.84
loto,person-occupation,0,0.4
loto,person-occupation,1,0.44
loto,person-occupation,2,0.4
loto,person-sport,0,0.94
loto,person-sport,1,0.94
loto,person-sport,2,0.92
loto,person-instrument,0,0.72
loto,person-instrument,1,0.76
loto,person-instrument,2,0.8
loto,product-company,0,0.94
loto,product-company,1,0.92
loto,product-company,2,0.94
loto,antonym,0,0.72
loto,antonym,1,0.64
loto,antonym,2,0.64
loto,synonym,0,0.54
loto,synonym,1,0.54
loto,synonym,2,0.58
loto,present-past,0,1.0
loto,present-past,1,1.0
loto,present-past,2,1.0
loto,singular-plural,0,0.96
loto,singular-plural,1,0.96
loto,singular-plural,2,0.96
loto,capitalize,0,1.0
loto,capitalize,1,1.0
loto,capitalize,2,1.0
loto,capitalize-first-letter,0,1.0
loto,capitalize-first-letter,1,1.0
loto,capitalize-first-letter,2,1.0
loto,capitalize-last-letter,0,0.68
loto,capitalize-last-letter,1,0.26
loto,capitalize-last-letter,2,0.52
loto,lowercase-first-letter,0,1.0
loto,lowercase-first-letter,1,1.0
loto,lowercase-first-letter,2,1.0
loto,english-french,0,0.72
loto,english-french,1,0.74
loto,english-french,2,0.7
loto,english-german,0,0.76
