task,cass,zvec,diff
alphabetically-first,0.22,0.233,-0.013
alphabetically-last,0.253,0.187,0.067
animal-from-list,0.347,0.467,-0.12
antonym,0.553,0.527,0.027
capitalize,0.993,0.98,0.013
capitalize-first-letter,0.087,0.0,0.087
capitalize-last-letter,0.027,0.027,0.0
choose-first-of-list,0.587,0.593,-0.007
choose-last-of-list,0.393,0.387,0.007
choose-middle-of-list,0.127,0.14,-0.013
color-from-list,0.527,0.413,0.113
country-capital,0.918,0.912,0.007
country-currency,0.109,0.088,0.02
english-french,0.36,0.187,0.173
english-german,0.2,0.053,0.147
english-spanish,0.527,0.293,0.233
fruit-from-list,0.58,0.533,0.047
landmark-country,0.507,0.433,0.073
lowercase-first-letter,0.56,0.153,0.407
next-capital-letter,0.0,0.0,0.0
next-item,0.427,0.453,-0.027
park-country,0.753,0.547,0.207
person-instrument,0.0,0.0,0.0
person-occupation,0.007,0.0,0.007
person-sport,0.0,0.0,0.0
present-past,0.887,0.88,0.007
prev-item,0.407,0.527,-0.12
product-company,0.313,0.113,0.2
singular-plural,0.96,0.947,0.013
synonym,0.527,0.567,-0.04
verb-from-list,0.373,0.333,0.04
word-length,0.0,0.0,0.0
