exp,cond,task,seed,acc
denoise,z_m1_add,antonym,0,0.56
denoise,z_m6_add,antonym,0,0.52
denoise,cass_m1,antonym,0,0.56
denoise,cass_m6,antonym,0,0.6
denoise,z_m1_add,antonym,1,0.44
denoise,z_m6_add,antonym,1,0.48
denoise,cass_m1,antonym,1,0.48
denoise,cass_m6,antonym,1,0.56
denoise,z_m1_add,antonym,2,0.48
denoise,z_m6_add,antonym,2,0.52
denoise,cass_m1,antonym,2,0.56
denoise,cass_m6,antonym,2,0.48
denoise,z_m1_add,present-past,0,0.88
denoise,z_m6_add,present-past,0,0.88
denoise,cass_m1,present-past,0,0.88
denoise,cass_m6,present-past,0,0.88
denoise,z_m1_add,present-past,1,0.8
denoise,z_m6_add,present-past,1,0.92
denoise,cass_m1,present-past,1,0.88
denoise,cass_m6,present-past,1,0.88
denoise,z_m1_add,present-past,2,0.88
denoise,z_m6_add,present-past,2,0.88
denoise,cass_m1,present-past,2,0.88
denoise,cass_m6,present-past,2,0.92
denoise,z_m1_add,country-capital,0,0.96
denoise,z_m6_add,country-capital,0,0.96
denoise,cass_m1,country-capital,0,0.96
denoise,cass_m6,country-capital,0,0.96
denoise,z_m1_add,country-capital,1,0.96
denoise,z_m6_add,country-capital,1,0.96
denoise,cass_m1,country-capital,1,0.96
denoise,cass_m6,country-capital,1,0.96
denoise,z_m1_add,country-capital,2,0.96
denoise,z_m6_add,country-capital,2,0.96
denoise,cass_m1,country-capital,2,0.96
denoise,cass_m6,country-capital,2,0.96
denoise,z_m1_add,person-sport,0,0.0
denoise,z_m6_add,person-sport,0,0.0
denoise,cass_m1,person-sport,0,0.0
denoise,cass_m6,person-sport,0,0.0
denoise,z_m1_add,person-sport,1,0.0
denoise,z_m6_add,person-sport,1,0.0
denoise,cass_m1,person-sport,1,0.0
denoise,cass_m6,person-sport,1,0.0
denoise,z_m1_add,person-sport,2,0.0
denoise,z_m6_add,person-sport,2,0.0
denoise,cass_m1,person-sport,2,0.0
denoise,cass_m6,person-sport,2,0.0
denoise,z_m1_add,english-french,0,0.08
denoise,z_m6_add,english-french,0,0.16
denoise,cass_m1,english-french,0,0.28
denoise,cass_m6,english-french,0,0.56
denoise,z_m1_add,english-french,1,0.0
denoise,z_m6_add,english-french,1,0.0
denoise,cass_m1,english-french,1,0.08
denoise,cass_m6,english-french,1,0.08
denoise,z_m1_add,english-french,2,0.4
denoise,z_m6_add,english-french,2,0.32
denoise,cass_m1,english-french,2,0.56
denoise,cass_m6,english-french,2,0.56
denoise,z_m1_add,next-item,0,0.4
denoise,z_m6_add,next-item,0,0.48
denoise,cass_m1,next-item,0,0.44
denoise,cass_m6,next-item,0,0.48
denoise,z_m1_add,next-item,1,0.68
denoise,z_m6_add,next-item,1,0.48
denoise,cass_m1,next-item,1,0.6
denoise,cass_m6,next-item,1,0.56
denoise,z_m1_add,next-item,2,0.52
denoise,z_m6_add,next-item,2,0.64
denoise,cass_m1,next-item,2,0.48
denoise,cass_m6,next-item,2,0.56
denoise,z_m1_add,choose-first-of-list,0,0.4
denoise,z_m6_add,choose-first-of-list,0,0.44
denoise,cass_m1,choose-first-of-list,0,0.36
denoise,cass_m6,choose-first-of-list,0,0.44
denoise,z_m1_add,choose-first-of-list,1,0.44
denoise,z_m6_add,choose-first-of-list,1,0.56
denoise,cass_m1,choose-first-of-list,1,0.4
denoise,cass_m6,choose-first-of-list,1,0.56
denoise,z_m1_add,choose-first-of-list,2,0.52
denoise,z_m6_add,choose-first-of-list,2,0.52
denoise,cass_m1,choose-first-of-list,2,0.6
denoise,cass_m6,choose-first-of-list,2,0.56
denoise,z_m1_add,animal-from-list,0,0.6
denoise,z_m6_add,animal-from-list,0,0.6
denoise,cass_m1,animal-from-list,0,0.56
denoise,cass_m6,animal-from-list,0,0.56
denoise,z_m1_add,animal-from-list,1,0.4
denoise,z_m6_add,animal-from-list,1,0.56
denoise,cass_m1,animal-from-list,1,0.4
denoise,cass_m6,animal-from-list,1,0.44
denoise,z_m1_add,animal-from-list,2,0.32
denoise,z_m6_add,animal-from-list,2,0.36
denoise,cass_m1,animal-from-list,2,0.24
denoise,cass_m6,animal-from-list,2,0.24
control,random_dir_0,antonym,0,0.36
control,random_dir_1,antonym,0,0.36
control,random_dir_2,antonym,0,0.36
control,random_dir_0,present-past,0,0.8
control,random_dir_1,present-past,0,0.8
