task,seed,beta,acc
antonym,0,0.3,0.64
antonym,0,0.5,0.6
antonym,0,0.7,0.48
antonym,0,1.0,0.4
antonym,1,0.3,0.68
antonym,1,0.5,0.72
antonym,1,0.7,0.68
antonym,1,1.0,0.36
antonym,2,0.3,0.52
antonym,2,0.5,0.44
antonym,2,0.7,0.4
antonym,2,1.0,0.08
present-past,0,0.3,1.0
present-past,0,0.5,1.0
present-past,0,0.7,1.0
present-past,0,1.0,1.0
present-past,1,0.3,1.0
present-past,1,0.5,1.0
present-past,1,0.7,1.0
present-past,1,1.0,1.0
present-past,2,0.3,1.0
present-past,2,0.5,1.0
present-past,2,0.7,1.0
present-past,2,1.0,1.0
country-capital,0,0.3,0.6
country-capital,0,0.5,0.32
country-capital,0,0.7,0.28
country-capital,0,1.0,0.24
country-capital,1,0.3,0.68
country-capital,1,0.5,0.32
country-capital,1,0.7,0.2
country-capital,1,1.0,0.08
country-capital,2,0.3,0.68
country-capital,2,0.5,0.32
country-capital,2,0.7,0.32
country-capital,2,1.0,0.28
person-sport,0,0.3,0.8
person-sport,0,0.5,0.92
person-sport,0,0.7,0.48
person-sport,0,1.0,0.4
person-sport,1,0.3,0.76
person-sport,1,0.5,0.8
person-sport,1,0.7,0.12
person-sport,1,1.0,0.04
person-sport,2,0.3,0.56
person-sport,2,0.5,0.56
person-sport,2,0.7,0.4
person-sport,2,1.0,0.4
english-french,0,0.3,0.36
english-french,0,0.5,0.24
english-french,0,0.7,0.2
english-french,0,1.0,0.08
english-french,1,0.3,0.4
english-french,1,0.5,0.16
english-french,1,0.7,0.16
english-french,1,1.0,0.08
english-french,2,0.3,0.52
english-french,2,0.5,0.16
english-french,2,0.7,0.16
english-french,2,1.0,0.08
next-item,0,0.3,0.64
next-item,0,0.5,0.68
next-item,0,0.7,0.72
next-item,0,1.0,0.68
next-item,1,0.3,0.6
next-item,1,0.5,0.56
next-item,1,0.7,0.56
next-item,1,1.0,0.56
next-item,2,0.3,0.76
next-item,2,0.5,0.72
next-item,2,0.7,0.6
next-item,2,1.0,0.64
choose-first-of-list,0,0.3,0.4
choose-first-of-list,0,0.5,0.44
choose-first-of-list,0,0.7,0.4
choose-first-of-list,0,1.0,0.2
choose-first-of-list,1,0.3,0.64
choose-first-of-list,1,0.5,0.56
choose-first-of-list,1,0.7,0.56
choose-first-of-list,1,1.0,0.52
choose-first-of-list,2,0.3,0.4
choose-first-of-list,2,0.5,0.32
choose-first-of-list,2,0.7,0.32
choose-first-of-list,2,1.0,0.28
animal-from-list,0,0.3,0.68
animal-from-list,0,0.5,0.32
animal-from-list,0,0.7,0.32
animal-from-list,0,1.0,0.28
animal-from-list,1,0.3,0.4
animal-from-list,1,0.5,0.2
animal-from-list,1,0.7,0.2
animal-from-list,1,1.0,0.24
animal-from-list,2,0.3,0.48
animal-from-list,2,0.5,0.2
animal-from-list,2,0.7,0.2
animal-from-list,2,1.0,0.28
person-instrument,0,0.3,0.0
person-instrument,0,0.5,0.0
person-instrument,0,0.7,0.0
person-instrument,0,1.0,0.32
person-instrument,1,0.3,0.04
person-instrument,1,0.5,0.12
person-instrument,1,0.7,0.08
person-instrument,1,1.0,0.12
person-instrument,2,0.3,0.0
person-instrument,2,0.5,0.04
person-instrument,2,0.7,0.0
person-instrument,2,1.0,0.0
capitalize-last-letter,0,0.3,0.04
capitalize-last-letter,0,0.5,0.12
capitalize-last-letter,0,0.7,0.24
capitalize-last-letter,0,1.0,0.36
capitalize-last-letter,1,0.3,0.0
capitalize-last-letter,1,0.5,0.32
capitalize-last-letter,1,0.7,0.48
capitalize-last-letter,1,1.0,0.4
capitalize-last-letter,2,0.3,0.24
capitalize-last-letter,2,0.5,0.4
capitalize-last-letter,2,0.7,0.44
capitalize-last-letter,2,1.0,0.4
word-length,0,0.3,0.04
word-length,0,0.5,0.0
word-length,0,0.7,0.0
word-length,0,1.0,0.0
word-length,1,0.3,0.08
word-length,1,0.5,0.16
word-length,1,0.7,0.0
word-length,1,1.0,0.0
word-length,2,0.3,0.0
word-length,2,0.5,0.04
word-length,2,0.7,0.0
word-length,2,1.0,0.0
next-capital-letter,0,0.3,0.0
next-capital-letter,0,0.5,0.0
next-capital-letter,0,0.7,0.0
next-capital-letter,0,1.0,0.04
next-capital-letter,1,0.3,0.0
next-capital-letter,1,0.5,0.0
next-capital-letter,1,0.7,0.04
next-capital-letter,1,1.0,0.04
next-capital-letter,2,0.3,0.0
next-capital-letter,2,0.5,0.0
next-capital-letter,2,0.7,0.0
next-capital-letter,2,1.0,0.04
choose-last-of-list,0,0.3,0.48
choose-last-of-list,0,0.5,0.32
choose-last-of-list,0,0.7,0.4
choose-last-of-list,0,1.0,0.48
choose-last-of-list,1,0.3,0.32
choose-last-of-list,1,0.5,0.24
choose-last-of-list,1,0.7,0.32
choose-last-of-list,1,1.0,0.36
choose-last-of-list,2,0.3,0.44
choose-last-of-list,2,0.5,0.4
choose-last-of-list,2,0.7,0.4
choose-last-of-list,2,1.0,0.48
