task,family,k,acc_syn,acc_zs,acc_icl,acc_oracle,acc_naive,rho,rho_icl,eps,support_size
alphabetically-first,algorithmic,1,0.172,0.12,0.16,0.08,0.12,,,0.9432599999999999,4.4
alphabetically-first,algorithmic,2,0.14800000000000002,0.12,0.16,0.08,0.12,,,0.8472200000000001,4.6
alphabetically-first,algorithmic,4,0.088,0.12,0.16,0.08,0.12,,,0.75502,4.4
alphabetically-last,algorithmic,1,0.16799999999999998,0.06,0.24,0.1,0.08,,0.6,0.9667600000000001,3.4
alphabetically-last,algorithmic,2,0.16799999999999998,0.06,0.24,0.1,0.08,,0.6,0.8593,4.8
alphabetically-last,algorithmic,4,0.17200000000000001,0.06,0.24,0.1,0.08,,0.6222222222222223,0.7734,4.6
animal-from-list,selection,1,0.16399999999999998,0.02,0.9199999999999999,0.22,0.02,0.7199999999999999,0.16,0.96154,4.4
animal-from-list,selection,2,0.26,0.02,0.9199999999999999,0.22,0.02,1.2,0.2666666666666667,0.8758199999999998,4.6
animal-from-list,selection,4,0.048,0.02,0.9199999999999999,0.22,0.02,0.13999999999999999,0.031111111111111114,0.84616,4.6
antonym,linguistic,1,0.21200000000000002,0.0,0.68,0.6,0.0,0.3533333333333334,0.31176470588235294,0.986,3.0
antonym,linguistic,2,0.23600000000000004,0.0,0.68,0.6,0.0,0.3933333333333334,0.3470588235294118,0.96736,3.8
antonym,linguistic,4,0.532,0.0,0.68,0.6,0.0,0.8866666666666667,0.7823529411764706,0.8647,4.4
capitalize,linguistic,1,0.492,0.32,1.0,0.98,0.32,0.2606060606060606,0.2529411764705882,0.9878199999999999,3.2
capitalize,linguistic,2,0.704,0.32,1.0,0.98,0.32,0.5818181818181818,0.5647058823529412,0.9785999999999999,3.8
capitalize,linguistic,4,0.9960000000000001,0.32,1.0,0.98,0.32,1.0242424242424246,0.9941176470588239,0.8676600000000001,4.8
capitalize-first-letter,linguistic,1,0.096,0.0,1.0,0.6,0.0,0.16,0.096,0.94672,4.2
capitalize-first-letter,linguistic,2,0.376,0.0,1.0,0.6,0.0,0.6266666666666667,0.376,0.9033,5.0
capitalize-first-letter,linguistic,4,0.12,0.0,1.0,0.6,0.0,0.2,0.12,0.5395399999999999,4.0
capitalize-last-letter,linguistic,1,0.028000000000000004,0.06,0.52,0.04,0.04,,-0.06956521739130433,0.96814,4.0
capitalize-last-letter,linguistic,2,0.04,0.06,0.52,0.04,0.04,,-0.04347826086956521,0.9127599999999999,4.6
capitalize-last-letter,linguistic,4,0.032,0.06,0.52,0.04,0.04,,-0.06086956521739129,0.7332,4.0
choose-first-of-list,algorithmic,1,0.036,0.12,0.9666666666666667,0.46,0.12,-0.24705882352941172,-0.09921259842519684,0.96484,3.8
choose-first-of-list,algorithmic,2,0.10800000000000001,0.12,0.9666666666666667,0.46,0.12,-0.03529411764705877,-0.014173228346456672,0.8702799999999999,4.8
choose-first-of-list,algorithmic,4,0.16,0.12,0.9666666666666667,0.46,0.12,0.11764705882352942,0.04724409448818898,0.85198,4.4
choose-last-of-list,algorithmic,1,0.296,0.3,0.8533333333333334,0.56,0.34,-0.015384615384615394,-0.007228915662650607,0.9441200000000001,4.8
choose-last-of-list,algorithmic,2,0.324,0.3,0.8533333333333334,0.56,0.34,0.09230769230769237,0.04337349397590364,0.85366,4.2
choose-last-of-list,algorithmic,4,0.364,0.3,0.8533333333333334,0.56,0.34,0.24615384615384608,0.11566265060240961,0.80838,4.6
choose-middle-of-list,algorithmic,1,0.14400000000000002,0.04,0.3,0.04,0.04,,0.4,0.9568999999999999,4.6
choose-middle-of-list,algorithmic,2,0.088,0.04,0.3,0.04,0.04,,0.1846153846153846,0.8587600000000002,4.6
choose-middle-of-list,algorithmic,4,0.02,0.04,0.3,0.04,0.04,,-0.07692307692307693,0.77744,4.8
color-from-list,selection,1,0.076,0.1,0.9866666666666667,0.42,0.08,-0.07500000000000004,-0.027067669172932338,0.9652800000000001,4.0
color-from-list,selection,2,0.176,0.1,0.9866666666666667,0.42,0.08,0.2375,0.08571428571428569,0.908,3.6
color-from-list,selection,4,0.384,0.1,0.9866666666666667,0.42,0.08,0.8875000000000002,0.32030075187969925,0.86614,4.0
country-capital,knowledge,1,0.5795918367346939,0.02040816326530612,0.9455782312925171,0.5918367346938775,0.0408163265306122,0.9785714285714286,0.6044117647058824,0.99,2.0
country-capital,knowledge,2,0.8653061224489796,0.02040816326530612,0.9455782312925171,0.5918367346938775,0.0408163265306122,1.4785714285714286,0.913235294117647,0.975,4.2
country-capital,knowledge,4,0.8816326530612246,0.02040816326530612,0.9455782312925171,0.5918367346938775,0.0408163265306122,1.5071428571428573,0.9308823529411766,0.82678,4.6
country-currency,knowledge,1,0.0,0.0,0.6802721088435373,0.2653061224489796,0.0,0.0,0.0,0.9958600000000001,2.0
country-currency,knowledge,2,0.04489795918367344,0.0,0.6802721088435373,0.2653061224489796,0.0,0.1692307692307691,0.06599999999999996,0.9780999999999999,4.2
