compound,seed,acc_zs,acc_icl,acc_cass,acc_retrieval,retrieved,acc_naive,support,support_precision,support_recall,eps
antonym+capitalize,0,0.0,0.64,0.0,0.0,antonym,0.04,antonym|capitalize|next-item|prev-item|alphabetically-last,0.4,1.0,0.6699
antonym+capitalize,1,0.0,0.64,0.0,0.0,antonym,0.04,antonym|capitalize|next-item|prev-item,0.5,1.0,0.7267
antonym+capitalize,2,0.0,0.64,0.0,0.0,antonym,0.04,antonym|capitalize|next-item|prev-item,0.5,1.0,0.7213
antonym+capitalize,3,0.0,0.64,0.0,0.0,antonym,0.04,antonym|capitalize|next-item|prev-item,0.5,1.0,0.6903
antonym+capitalize,4,0.0,0.64,0.0,0.0,antonym,0.04,antonym|synonym|singular-plural|capitalize,0.5,1.0,0.6683
synonym+capitalize,0,0.0,0.54,0.0,0.0,synonym,0.0,synonym,1.0,0.5,0.8059
synonym+capitalize,1,0.0,0.54,0.0,0.0,synonym,0.0,synonym,1.0,0.5,0.7352
synonym+capitalize,2,0.0,0.54,0.0,0.0,synonym,0.0,antonym|synonym,0.5,0.5,0.7141
synonym+capitalize,3,0.0,0.54,0.0,0.0,synonym,0.0,antonym|synonym|capitalize,0.667,1.0,0.8042
synonym+capitalize,4,0.0,0.54,0.0,0.0,synonym,0.0,antonym|synonym|alphabetically-first|alphabetically-last,0.25,0.5,0.7373
present-past+capitalize,0,0.0,1.0,0.12,0.0,present-past,0.0,present-past|singular-plural|capitalize|english-french,0.5,1.0,0.669
present-past+capitalize,1,0.0,1.0,0.12,0.0,present-past,0.0,present-past|singular-plural|capitalize|english-french|choose-middle-of-list,0.4,1.0,0.6594
present-past+capitalize,2,0.0,1.0,0.34,0.0,present-past,0.0,present-past|singular-plural|capitalize|english-french|english-spanish,0.4,1.0,0.6859
present-past+capitalize,3,0.0,1.0,0.54,0.0,present-past,0.0,present-past|capitalize|english-french|english-spanish,0.5,1.0,0.6768
present-past+capitalize,4,0.0,1.0,0.5,0.0,present-past,0.0,present-past|capitalize|english-french|english-spanish,0.5,1.0,0.7156
singular-plural+capitalize,0,0.0,0.98,0.74,0.0,singular-plural,0.02,present-past|singular-plural|capitalize,0.667,1.0,0.6799
singular-plural+capitalize,1,0.0,0.98,0.9,0.0,singular-plural,0.02,present-past|singular-plural|capitalize,0.667,1.0,0.7082
singular-plural+capitalize,2,0.0,0.98,0.66,0.0,singular-plural,0.02,present-past|singular-plural|capitalize,0.667,1.0,0.682
singular-plural+capitalize,3,0.0,0.98,0.76,0.0,singular-plural,0.02,present-past|singular-plural|capitalize,0.667,1.0,0.7036
singular-plural+capitalize,4,0.0,0.98,0.92,0.0,singular-plural,0.02,present-past|singular-plural|capitalize|capitalize-first-letter|english-french,0.4,1.0,0.7223
english-french+capitalize,0,0.0,0.84,0.02,0.0,english-french,0.0,english-french|english-spanish,0.5,0.5,0.7205
english-french+capitalize,1,0.0,0.84,0.12,0.0,english-french,0.0,english-french|english-german|english-spanish,0.333,0.5,0.743
english-french+capitalize,2,0.0,0.84,0.02,0.0,english-french,0.0,capitalize|english-french|english-spanish,0.667,1.0,0.7313
english-french+capitalize,3,0.0,0.84,0.16,0.0,english-french,0.0,english-french|english-german|english-spanish,0.333,0.5,0.7261
english-french+capitalize,4,0.0,0.84,0.02,0.0,english-french,0.0,capitalize|english-french|english-german|english-spanish,0.5,1.0,0.7108
next-item+capitalize,0,0.0,0.7058823529411765,0.058823529411764705,0.20588235294117646,next-item,0.35294117647058826,lowercase-first-letter|next-item|prev-item,0.333,0.5,0.6778
next-item+capitalize,1,0.0,0.7058823529411765,0.058823529411764705,0.20588235294117646,next-item,0.35294117647058826,next-item|prev-item|next-capital-letter,0.333,0.5,0.6939
