task,family,k,acc_syn,acc_zs,acc_icl,acc_oracle,acc_naive,rho,rho_icl,eps,support_size
alphabetically-first,algorithmic,1,0.20400000000000001,0.12,0.16,0.24,0.12,0.7000000000000002,,0.92682,3.4
alphabetically-first,algorithmic,2,0.22000000000000003,0.12,0.16,0.24,0.12,0.8333333333333336,,0.7614000000000001,4.8
alphabetically-first,algorithmic,4,0.20400000000000001,0.12,0.16,0.24,0.12,0.7000000000000002,,0.53354,4.6
alphabetically-last,algorithmic,1,0.156,0.06,0.24,0.16,0.08,0.96,0.5333333333333333,0.9535,4.0
alphabetically-last,algorithmic,2,0.188,0.06,0.24,0.16,0.08,1.28,0.7111111111111111,0.78454,4.8
alphabetically-last,algorithmic,4,0.21600000000000003,0.06,0.24,0.16,0.08,1.5600000000000003,0.8666666666666668,0.5696,4.8
animal-from-list,selection,1,0.22000000000000003,0.02,0.9199999999999999,0.3,0.02,0.7142857142857145,0.2222222222222223,0.9384399999999999,5.0
animal-from-list,selection,2,0.30400000000000005,0.02,0.9199999999999999,0.3,0.02,1.0142857142857145,0.31555555555555564,0.7992999999999999,4.6
animal-from-list,selection,4,0.276,0.02,0.9199999999999999,0.3,0.02,0.9142857142857144,0.2844444444444445,0.6620999999999999,4.8
antonym,linguistic,1,0.20400000000000001,0.0,0.68,0.62,0.0,0.32903225806451614,0.3,0.98558,3.0
antonym,linguistic,2,0.268,0.0,0.68,0.62,0.0,0.4322580645161291,0.3941176470588235,0.9686600000000001,4.2
antonym,linguistic,4,0.43599999999999994,0.0,0.68,0.62,0.0,0.7032258064516128,0.6411764705882351,0.8423999999999999,4.0
capitalize,linguistic,1,0.6199999999999999,0.32,1.0,0.98,0.32,0.4545454545454544,0.44117647058823517,0.99182,2.6
capitalize,linguistic,2,0.884,0.32,1.0,0.98,0.32,0.8545454545454547,0.8294117647058825,0.97834,3.2
capitalize,linguistic,4,0.984,0.32,1.0,0.98,0.32,1.006060606060606,0.9764705882352941,0.86098,4.2
capitalize-first-letter,linguistic,1,0.12,0.0,1.0,0.6,0.0,0.2,0.12,0.9459199999999999,4.4
capitalize-first-letter,linguistic,2,0.38,0.0,1.0,0.6,0.0,0.6333333333333334,0.38,0.90176,5.0
capitalize-first-letter,linguistic,4,0.11200000000000002,0.0,1.0,0.6,0.0,0.1866666666666667,0.11200000000000002,0.5377,4.4
capitalize-last-letter,linguistic,1,0.032,0.06,0.52,0.04,0.04,,-0.06086956521739129,0.9727799999999999,4.2
capitalize-last-letter,linguistic,2,0.036,0.06,0.52,0.04,0.04,,-0.05217391304347826,0.9100400000000001,4.8
capitalize-last-letter,linguistic,4,0.028000000000000004,0.06,0.52,0.04,0.04,,-0.06956521739130433,0.7336199999999999,3.6
choose-first-of-list,algorithmic,1,0.244,0.12,0.9666666666666667,0.96,0.12,0.14761904761904762,0.1464566929133858,0.92768,4.6
choose-first-of-list,algorithmic,2,0.7879999999999999,0.12,0.9666666666666667,0.96,0.12,0.7952380952380952,0.7889763779527558,0.8253600000000001,4.2
choose-first-of-list,algorithmic,4,0.616,0.12,0.9666666666666667,0.96,0.12,0.5904761904761905,0.5858267716535432,0.65502,4.6
