compound,seed,acc_zs,acc_icl,acc_cass,acc_retrieval,retrieved,acc_naive,support,support_precision,support_recall,eps
antonym+capitalize,0,0.0,0.56,0.04,0.02,antonym,0.0,antonym|prev-item,0.5,0.5,0.6255
antonym+capitalize,1,0.0,0.56,0.06,0.02,antonym,0.0,antonym|synonym|next-item|prev-item,0.25,0.5,0.6883
antonym+capitalize,2,0.0,0.56,0.0,0.02,antonym,0.0,antonym|next-item|prev-item,0.333,0.5,0.6435
antonym+capitalize,3,0.0,0.56,0.0,0.02,antonym,0.0,antonym|next-item|prev-item,0.333,0.5,0.6764
antonym+capitalize,4,0.0,0.56,0.06,0.02,antonym,0.0,antonym|synonym|prev-item,0.333,0.5,0.657
synonym+capitalize,0,0.0,0.4,0.0,0.0,synonym,0.0,synonym|english-spanish,0.5,0.5,0.7323
synonym+capitalize,1,0.0,0.4,0.0,0.0,synonym,0.0,product-company|synonym|english-french|english-spanish|alphabetically-last,0.2,0.5,0.613
synonym+capitalize,2,0.0,0.4,0.02,0.0,synonym,0.0,person-occupation|product-company|synonym|english-german|english-spanish,0.2,0.5,0.6622
synonym+capitalize,3,0.0,0.4,0.0,0.0,synonym,0.0,synonym|present-past|english-spanish|choose-first-of-list,0.25,0.5,0.7379
synonym+capitalize,4,0.0,0.4,0.0,0.0,synonym,0.0,synonym|choose-first-of-list,0.5,0.5,0.655
present-past+capitalize,0,0.0,0.98,0.0,0.0,present-past,0.0,present-past|singular-plural|capitalize,0.667,1.0,0.6812
present-past+capitalize,1,0.0,0.98,0.0,0.0,present-past,0.0,present-past|singular-plural|capitalize,0.667,1.0,0.6979
present-past+capitalize,2,0.0,0.98,0.0,0.0,present-past,0.0,present-past|singular-plural|capitalize,0.667,1.0,0.7344
present-past+capitalize,3,0.0,0.98,0.0,0.0,present-past,0.0,present-past|singular-plural|capitalize|english-spanish,0.5,1.0,0.7396
present-past+capitalize,4,0.0,0.98,0.0,0.0,present-past,0.0,present-past|singular-plural|capitalize,0.667,1.0,0.7985
singular-plural+capitalize,0,0.02,0.98,0.0,0.0,singular-plural,0.02,antonym|singular-plural|capitalize|next-item|prev-item,0.4,1.0,0.7082
singular-plural+capitalize,1,0.02,0.98,0.0,0.0,singular-plural,0.02,antonym|singular-plural|capitalize|prev-item,0.5,1.0,0.678
singular-plural+capitalize,2,0.02,0.98,0.0,0.0,singular-plural,0.02,singular-plural|capitalize,1.0,1.0,0.709
singular-plural+capitalize,3,0.02,0.98,0.0,0.0,singular-plural,0.02,singular-plural|capitalize|prev-item,0.667,1.0,0.6749
singular-plural+capitalize,4,0.02,0.98,0.0,0.0,singular-plural,0.02,park-country|singular-plural|capitalize|english-spanish|prev-item,0.4,1.0,0.7034
english-french+capitalize,0,0.0,0.78,0.0,0.0,english-spanish,0.0,english-french|english-german|english-spanish|alphabetically-first,0.25,0.5,0.651
english-french+capitalize,1,0.0,0.78,0.0,0.0,english-spanish,0.0,english-french|english-german|english-spanish|alphabetically-first,0.25,0.5,0.6143
english-french+capitalize,2,0.0,0.78,0.0,0.0,english-spanish,0.0,capitalize|english-french|english-german|english-spanish,0.5,1.0,0.6399
english-french+capitalize,3,0.0,0.78,0.0,0.0,english-spanish,0.0,capitalize|english-french|english-german|english-spanish|alphabetically-first,0.4,1.0,0.6308
english-french+capitalize,4,0.0,0.78,0.0,0.0,english-spanish,0.0,english-french|english-german|english-spanish|alphabetically-first,0.25,0.5,0.6652
next-item+capitalize,0,0.0,0.7647058823529411,0.029411764705882353,0.08823529411764706,next-item,0.0,antonym|next-item|prev-item,0.333,0.5,0.7044
next-item+capitalize,1,0.0,0.7647058823529411,0.0,0.08823529411764706,next-item,0.0,capitalize|capitalize-last-letter|next-item|prev-item|word-length,0.4,1.0,0.7159
next-item+capitalize,2,0.0,0.7647058823529411,0.029411764705882353,0.08823529411764706,next-item,0.0,antonym|next-item|prev-item,0.333,0.5,0.6542
next-item+capitalize,3,0.0,0.7647058823529411,0.058823529411764705,0.08823529411764706,next-item,0.0,antonym|capitalize|next-item|prev-item,0.5,1.0,0.5974
next-item+capitalize,4,0.0,0.7647058823529411,0.0,0.08823529411764706,next-item,0.0,capitalize|next-item|prev-item|next-capital-letter,0.5,1.0,0.9293
antonym+capitalize-first-letter,0,0.0,0.14,0.0,0.0,capitalize-last-letter,0.0,capitalize|capitalize-last-letter|prev-item|next-capital-letter,0.0,0.0,0.9242
antonym+capitalize-first-letter,1,0.0,0.14,0.0,0.0,capitalize-last-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter,0.25,0.5,0.8774
antonym+capitalize-first-letter,2,0.0,0.14,0.0,0.0,capitalize-last-letter,0.0,antonym|capitalize-first-letter|capitalize-last-letter|next-capital-letter,0.5,1.0,0.8863
antonym+capitalize-first-letter,3,0.0,0.14,0.0,0.0,word-length,0.0,lowercase-first-letter|next-capital-letter|word-length,0.0,0.0,0.9382
antonym+capitalize-first-letter,4,0.0,0.14,0.0,0.0,capitalize-last-letter,0.0,capitalize-first-letter|capitalize-last-letter|next-capital-letter,0.333,0.5,0.8007
present-past+capitalize-first-letter,0,0.0,1.0,0.0,0.0,capitalize-first-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter,0.25,0.5,0.6965
present-past+capitalize-first-letter,1,0.0,1.0,0.0,0.0,capitalize-first-letter,0.0,capitalize|capitalize-first-letter|lowercase-first-letter|next-item|next-capital-letter,0.2,0.5,0.6379
present-past+capitalize-first-letter,2,0.0,1.0,0.02,0.0,capitalize-first-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter,0.25,0.5,0.6509
present-past+capitalize-first-letter,3,0.0,1.0,0.02,0.0,capitalize-first-letter,0.0,capitalize-first-letter|lowercase-first-letter|next-capital-letter,0.333,0.5,0.6523
present-past+capitalize-first-letter,4,0.0,1.0,0.02,0.0,capitalize-first-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter,0.25,0.5,0.7311
country-capital+word-length,0,0.0,0.04,0.0,0.0,capitalize-first-letter,0.0,capitalize-first-letter|lowercase-first-letter|next-item|next-capital-letter|word-length,0.2,0.5,0.893
country-capital+word-length,1,0.0,0.04,0.0,0.0,word-length,0.0,country-capital|capitalize-first-letter|next-item|next-capital-letter|word-length,0.4,1.0,0.9498
country-capital+word-length,2,0.0,0.04,0.0,0.0,antonym,0.0,capitalize-first-letter|word-length,0.5,0.5,0.9621
country-capital+word-length,3,0.0,0.04,0.0,0.0,next-item,0.0,capitalize-first-letter|next-capital-letter|word-length,0.333,0.5,0.9138
country-capital+word-length,4,0.0,0.04,0.0,0.0,next-capital-letter,0.0,person-occupation|person-instrument|capitalize-last-letter|next-capital-letter|word-length,0.2,0.5,0.9041
country-capital+lowercase-first-letter,0,0.0,0.14,0.0,0.0,capitalize-first-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|word-length|fruit-from-list,0.2,0.5,0.8901
country-capital+lowercase-first-letter,1,0.0,0.14,0.0,0.0,capitalize-first-letter,0.0,person-occupation|capitalize-first-letter|prev-item|next-capital-letter,0.0,0.0,0.9664
country-capital+lowercase-first-letter,2,0.0,0.14,0.0,0.0,capitalize-first-letter,0.0,capitalize-first-letter|capitalize-last-letter|next-capital-letter,0.0,0.0,0.9537
country-capital+lowercase-first-letter,3,0.0,0.14,0.0,0.0,capitalize-last-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter,0.333,0.5,0.9571
country-capital+lowercase-first-letter,4,0.0,0.14,0.0,0.0,capitalize-first-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length,0.2,0.5,0.8579
